[INFO] [1758710331.248809004] [sys_stats_publisher]: System Stats Publisher node started
[INFO] [1758710332.329126139] [sys_stats_publisher]: Published stats - CPU: 60.50%, Memory: 29.50%
[INFO] [1758710333.329916768] [sys_stats_publisher]: Published stats - CPU: 64.60%, Memory: 29.60%
[INFO] [1758710334.331850067] [sys_stats_publisher]: Published stats - CPU: 67.40%, Memory: 30.70%
[INFO] [1758710335.329415507] [sys_stats_publisher]: Published stats - CPU: 72.30%, Memory: 31.10%
[INFO] [1758710336.329567466] [sys_stats_publisher]: Published stats - CPU: 69.00%, Memory: 31.30%
[INFO] [1758710337.329934915] [sys_stats_publisher]: Published stats - CPU: 67.40%, Memory: 31.50%
[INFO] [1758710338.329946545] [sys_stats_publisher]: Published stats - CPU: 73.30%, Memory: 31.70%
[INFO] [1758710339.329683485] [sys_stats_publisher]: Published stats - CPU: 80.20%, Memory: 31.40%
[INFO] [1758710340.329213544] [sys_stats_publisher]: Published stats - CPU: 70.80%, Memory: 31.50%
[INFO] [1758710341.329725754] [sys_stats_publisher]: Published stats - CPU: 72.50%, Memory: 31.50%
[INFO] [1758710342.329693344] [sys_stats_publisher]: Published stats - CPU: 80.00%, Memory: 31.70%
[INFO] [1758710343.333677944] [sys_stats_publisher]: Published stats - CPU: 78.20%, Memory: 31.90%
[INFO] [1758710344.329844014] [sys_stats_publisher]: Published stats - CPU: 79.20%, Memory: 32.00%
[INFO] [1758710345.329887174] [sys_stats_publisher]: Published stats - CPU: 79.10%, Memory: 32.10%
[INFO] [1758710346.331847214] [sys_stats_publisher]: Published stats - CPU: 77.90%, Memory: 32.30%
[INFO] [1758710347.330395614] [sys_stats_publisher]: Published stats - CPU: 77.70%, Memory: 32.50%
[INFO] [1758710348.329496784] [sys_stats_publisher]: Published stats - CPU: 78.50%, Memory: 32.60%
[INFO] [1758710349.329835045] [sys_stats_publisher]: Published stats - CPU: 81.20%, Memory: 32.70%
[INFO] [1758710350.329822815] [sys_stats_publisher]: Published stats - CPU: 78.60%, Memory: 32.80%
[INFO] [1758710351.330573466] [sys_stats_publisher]: Published stats - CPU: 76.90%, Memory: 33.00%
[INFO] [1758710352.330560446] [sys_stats_publisher]: Published stats - CPU: 79.90%, Memory: 33.20%
[INFO] [1758710353.329319237] [sys_stats_publisher]: Published stats - CPU: 75.70%, Memory: 33.30%
[INFO] [1758710354.332931948] [sys_stats_publisher]: Published stats - CPU: 75.90%, Memory: 33.30%
[INFO] [1758710355.329477988] [sys_stats_publisher]: Published stats - CPU: 79.30%, Memory: 33.50%
[INFO] [1758710356.331765669] [sys_stats_publisher]: Published stats - CPU: 80.40%, Memory: 33.50%
[INFO] [1758710357.329937410] [sys_stats_publisher]: Published stats - CPU: 81.10%, Memory: 33.50%
[INFO] [1758710358.329551771] [sys_stats_publisher]: Published stats - CPU: 78.00%, Memory: 33.50%
[INFO] [1758710359.330605012] [sys_stats_publisher]: Published stats - CPU: 79.60%, Memory: 33.60%
[INFO] [1758710360.330451293] [sys_stats_publisher]: Published stats - CPU: 79.00%, Memory: 33.50%
