scenario,run_id,category,outcome,mean_pos_error,rmse_pos,max_pos_error,mean_yaw_error,path_length,duration,path_efficiency,mean_velocity,smoothness,amcl_uncertainty,max_amcl_uncertainty,anomaly_count,anomalies
small-dataset-maps-0-3-door-width-1f1-1,0,door-width,failure,0.03053094560158857,0.03278333471153824,0.050144747138928976,0.03595487344462506,0.4365705980249438,12.780000000000001,0.7345675356943691,0.0341722728467919,0.485437091846526,0.1414213562373095,0.1414213562373095,1,goal_failure
small-dataset-maps-0-3-door-width-1f1-1,1,door-width,failure,0.028770066203453508,0.02998724564922448,0.037632392477038236,0.03515543904240101,0.4169107427796038,12.204,0.7829608748800366,0.0341824289513681,0.5237860691036222,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-3-door-width-1f1-1,2,door-width,failure,0.014916998906844302,0.017303176287396384,0.057332167071297686,0.03729524876290443,0.426767671808667,12.204,0.7522749127246784,0.03501469936293258,0.46060296931230027,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-33-door-width-1f1-2,0,door-width,failure,0.039765085509750345,0.04216549392998947,0.07597853792337568,0.051867044362523776,0.44524982013317205,12.383999999999999,0.7181069791665592,0.035986120255114176,0.41798914078576865,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-33-door-width-1f1-2,1,door-width,failure,0.02415090609112802,0.025028661330027235,0.030574798872214093,0.04391618729179816,0.4226454433566757,12.204,0.7590250850784797,0.03463215903074479,0.6271444013276128,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-33-door-width-1f1-2,2,door-width,failure,0.04088105749282383,0.042125742582209,0.05089586416565883,0.040897365428062715,0.4413909336376801,11.484,0.7365445740034121,0.03850429250602615,0.6210343250341368,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-36-door-width-1f1-3,0,door-width,failure,0.0293751194303484,0.03096917967080755,0.04941645890660777,0.04055053654033961,5.776273145504515,30.492,0.9675171562787052,0.18958563872235584,0.4925605375468563,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-0-36-door-width-1f1-3,1,door-width,failure,0.0671815049959078,0.0724724148082358,0.11740104214241752,0.03104610945425445,5.882900586224229,28.403999999999996,0.9621307257328825,0.2072574563092365,0.5709352893461485,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-36-door-width-1f1-3,2,door-width,failure,0.03678784570378968,0.04020845548032449,0.0737334868325711,0.0374614137303373,5.975936716851626,31.823999999999998,0.9656070588893739,0.18799665997035883,0.5021708607308724,0.14142135623730948,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-0-44-door-width-1f1-4,0,door-width,failure,0.043892214003048186,0.049549205364940195,0.07003263820491562,0.03098008188404661,3.0575084084352904,29.631000000000004,0.9048733381545837,0.1032817846794629,0.6022319468778035,0.14142135623730953,0.1414213562373095,1,goal_failure
small-dataset-maps-0-44-door-width-1f1-4,1,door-width,failure,0.05047878682846159,0.05748242249897445,0.10190454795458408,0.03481189566719123,3.6491915906884804,33.552,0.8600404039175058,0.1088371343251866,0.7151803793527252,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-44-door-width-1f1-4,2,door-width,failure,0.06310340484557402,0.07418330140853274,0.12778347696704723,0.028575776263263426,3.6167743214338524,39.456,0.873493268667105,0.09175221655696887,0.5253865227078496,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-47-door-width-1f1-5,0,door-width,failure,0.044766874630951824,0.04897978791758009,0.10129279561557883,0.020114461003662813,9.381064898598574,37.403999999999996,0.973397758022715,0.2510528287789266,0.5510882398332263,0.14142135623730948,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-0-47-door-width-1f1-5,1,door-width,failure,0.061571237571460075,0.0677118858440886,0.10821431446795007,0.02737672966036095,9.155019451836418,35.748000000000005,0.9803255535915696,0.256417842525879,0.5711309429053323,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-0-47-door-width-1f1-5,2,door-width,failure,0.052793897768883526,0.05792795373558429,0.12045344034563185,0.028434785135139144,9.217988336477994,38.304,0.9728684488209822,0.24095232688805346,0.6104935163716296,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f1-6,0,door-width,failure,0.06371670053526915,0.0729098375079658,0.1497909511572345,0.03022075966264057,11.233495153448537,43.092,0.9783223136527638,0.26106707648149946,0.5893549545701486,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f1-6,1,door-width,failure,0.060427503036419694,0.07728674420506042,0.18538210152129517,0.02724559412322455,11.790744445067395,51.228,0.9821779107232422,0.2304562855123594,0.5826192778096743,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f1-6,2,door-width,failure,0.069731291175353,0.07704347966675967,0.15136794914164678,0.025967619834970018,11.811782946687773,50.256,0.9741295364444634,0.23526934107086175,0.5345774254098659,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1f2-1,0,door-width,failure,0.028107460372019537,0.03197512381442511,0.05216493065229045,0.008560761700981072,5.218807882587267,18.576,0.9864845131178214,0.2814138002625567,0.4905481574740098,0.1414213562373095,0.1414213562373095,2,"goal_failure,ml_anomaly"
small-dataset-maps-door-size-0-5-1f2-1,1,door-width,success,0.05355338084613737,0.05761712954616255,0.0976070555691141,0.02371799751871067,18.582354108320416,197.067,0.9512502957671437,0.09441819162366262,0.4255204674057249,0.14142135623730948,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1f2-1,2,door-width,success,0.038286117227662536,0.0473112296826966,0.14817307968360444,0.02839197838908615,15.947979809506172,145.584,0.9298761102603554,0.10967092066362996,0.46860082400549935,0.14142135623730948,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1f2-2,0,door-width,success,0.06378300632101495,0.07571406713542361,0.18840648305129246,0.02265520552651573,10.523234837455469,44.208000000000006,0.9757303020209922,0.23843506183712043,0.5245537339581817,0.14142135623730945,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1f2-2,1,door-width,success,0.07006024113384635,0.07866735162410056,0.15961624928934973,0.026856820225665573,11.508238730877743,55.944,0.962860968208517,0.2060246707023392,0.5892886432455228,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1f2-2,2,door-width,success,0.06276952378343977,0.07731628102235617,0.19019884924540026,0.020060256380970892,10.853147313634581,51.189,0.9721205781483852,0.21224228637823608,0.48178895104164404,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1f2-3,0,door-width,success,0.06676063740907495,0.07518883029588831,0.23198626480742035,0.03077591757099966,14.699896858680301,168.15599999999998,0.9294771945084748,0.08751906185762288,0.3150126799119249,0.14142135623730945,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1f2-3,1,door-width,success,0.097550564018952,0.10805401983533618,0.21715153184428054,0.0379545697197053,13.16190469726738,73.22399999999999,0.9590762642770676,0.1799906002001403,0.4682373425806411,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1f2-3,2,door-width,incomplete,0.08633861328892908,0.09364052453150144,0.3103468956170715,0.037246374656403944,17.382600752091136,214.995,0.9189580290164648,0.08092254244365708,0.3315124976755757,0.14142135623730948,0.1414213562373095,2,"stuck,ml_anomaly"
small-dataset-maps-door-size-0-5-1f2-4,0,door-width,failure,0.04172419679300352,0.046980714266939665,0.09389537545369607,0.02961755777979986,7.544727023746351,81.57600000000001,0.9380887892589327,0.09262644706956294,0.3999810115671404,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1f2-4,1,door-width,failure,0.043773124427295314,0.04667413133719182,0.06781783666687018,0.022962525767435914,4.960109614607873,55.404,0.9300292071058309,0.08960053537439218,0.49805953751049875,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f2-4,2,door-width,failure,0.04413776051775493,0.04669768456386758,0.08681044113010206,0.027825001896186453,7.619862317529002,66.492,0.9606044374657905,0.11478531148468242,0.493039441030164,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f2-5,0,door-width,failure,0.0653860436240789,0.07519371112709132,0.10121286476712286,0.026931803418592422,2.419353279330465,21.273,0.9697065209921798,0.11392105764094275,0.5931287474966144,0.1414213562373095,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f2-5,1,door-width,failure,0.08063139545816354,0.09137991642990244,0.13507484013029683,0.03590397978395177,2.2902851365312835,21.528000000000002,0.950781452897962,0.10644632415827461,0.6456892212351175,0.1414213562373095,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f2-5,2,door-width,failure,0.07482486408802459,0.08533579783213716,0.16534441738593902,0.034798046053356096,2.5343189360453557,20.844,0.9086844061937497,0.1216556604541963,0.6679847038080404,0.14142135623730953,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f2-6,0,door-width,failure,0.03064242300040187,0.03177801214388897,0.04479201141824446,0.05854457662301185,0.44588761395911636,13.104000000000001,0.7298745305481028,0.03406381625925657,0.5063502332532958,0.1414213562373095,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f2-6,1,door-width,failure,0.03336152144729156,0.03463205890537457,0.052592194295149663,0.0276083567240228,0.4133994059423984,12.705000000000002,0.7982891733957947,0.032569602562647966,0.5108695586809753,0.1414213562373095,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f2-6,2,door-width,failure,0.026200811262423518,0.028915559747009482,0.07538298269885677,0.04452815716788655,0.44410164881361475,11.879999999999999,0.7212891107457599,0.03741668655283985,0.6189874637263841,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1f3-1,0,door-width,failure,0.6993207770959347,0.8160679170988815,1.5037443740343235,2.200879607131382,6.887345921220118,74.304,0.8428815207158462,0.09282175497667357,0.6327134742632259,0.14142135623730948,0.1414213562373095,5,"goal_failure,position_error_spike,stuck,high_yaw_error,ml_anomaly"
